session-id,session-name,session-date,session-release
6256,Advisory Board Meeting,2013-10-28,PUBLIC
6257,Advisory Board Meeting,2014-04-07,PUBLIC
6540,Advisory Board Meeting,2014-10-17,PUBLIC
7821,SRCD Preconference Workshop,2015-03-18,PUBLIC
8460,Advisory Board Meeting,2015-05-11,PUBLIC
9224,Regional Workshop at NYU (Slides only),2015-09-18,PUBLIC
9578,CDS Preconference Workshop,2015-10-08,PUBLIC
9807,Top-level materials,materials,
10068,Regional Workshop in Philadelphia,2015-11-20,PUBLIC
10991,Regional Workshop at Penn State,2016-03-25,PUBLIC
11362,"Regional Workshop at University of Maryland, College Park",2016-04-15,PUBLIC
11660,ICIS16 Preconference Workshop,2016-05-25,PUBLIC
11886,Advisory Board Meeting,2016-06-13,PUBLIC
14297,Regional Workshop at University of Minnesota,2016-10-14,PUBLIC
14550,Regional Workshop at Harvard,2016-10-21,PUBLIC
14551,Regional Workshop in Boston,2016-10-21,PUBLIC
15663,Bethesda PLAY Workshop,2016-12-16,PUBLIC
16104,Regional Workshop at University of Iowa,2017-02-03,PUBLIC
16891,Pre-Conference at SRCD,2017-04-05,PUBLIC
16894,"Pre-Conference at SRCD ""The Science of Play and Learning""",2017-04-05,PUBLIC
17187,AERA 2017 San Antonio,2017-04-30,PUBLIC
17417,"Regional Workshop at Emory University in Atlanta, GA",2017-05-15,PUBLIC
17886,Advisory Board Meeting 2017,2017-06-09,PUBLIC
21077,CDS 2017 Portland,2017-10-13,PUBLIC
25952,Advisory Board Meeting 2018,2018-03-26,PUBLIC
